dep;jour;current_hosp;current_critical;total_returned_home;total_death;cumulative_hosp;cumulative_critical;cumulative_death;cumulative_returned_home;new_hosp;new_critical;new_death;new_returned_home;current_men_hosp;current_men_critical;total_men_returned_home;total_men_death;current_women_hosp;current_women_critical;total_women_returned_home;total_women_death
03;2020-03-31;36;13;41;5;82;17;5;41;5;2;1;3;15;7;16;2;19;5;25;3
03;2020-04-01;38;13;48;5;91;18;5;48;9;1;0;7;16;7;19;2;20;5;29;3
03;2020-04-02;36;14;54;6;96;21;6;54;5;3;1;6;17;7;22;2;17;6;32;4
03;2020-04-03;40;13;54;7;102;22;7;55;6;1;1;1;17;6;22;3;21;6;32;4
03;2020-04-04;44;12;56;7;108;22;7;57;6;0;0;2;19;6;23;3;23;6;33;4
03;2020-04-05;45;16;59;8;114;26;8;61;6;4;1;4;22;10;24;3;21;6;35;5
03;2020-04-06;50;18;61;8;120;27;8;63;6;1;0;2;24;10;25;3;24;8;36;5
03;2020-04-07;52;19;65;8;125;27;8;67;5;0;0;4;23;11;28;3;27;8;37;5
03;2020-04-08;53;21;67;10;135;30;10;69;10;3;2;2;26;12;28;5;25;9;39;5
03;2020-04-09;57;22;66;10;138;31;10;69;3;1;0;0;27;13;28;5;28;9;38;5
03;2020-04-10;56;22;72;10;144;33;10;75;6;2;0;6;26;13;32;5;28;9;40;5
03;2020-04-11;60;22;74;12;152;34;12;77;8;1;2;2;28;14;32;7;31;8;41;5
04;2020-03-19;3;1;3;0;1;0;0;1;1;0;0;1;3;1;1;0;0;0;2;0
04;2020-03-20;3;1;3;0;1;0;0;1;0;0;0;0;3;1;1;0;0;0;2;0
04;2020-03-21;4;1;3;0;2;0;0;1;1;0;0;0;3;1;1;0;1;0;2;0
04;2020-03-22;4;1;3;0;2;0;0;1;0;0;0;0;3;1;1;0;1;0;2;0
04;2020-03-23;4;1;3;0;2;0;0;1;0;0;0;0;3;1;1;0;1;0;2;0
04;2020-03-24;4;1;3;0;2;0;0;1;0;0;0;0;3;1;1;0;1;0;2;0
04;2020-03-25;8;1;16;0;19;0;0;14;17;0;0;13;5;1;6;0;3;0;10;0
04;2020-03-26;9;1;16;0;20;0;0;14;1;0;0;0;5;1;6;0;4;0;10;0
04;2020-03-27;11;1;18;0;24;0;0;16;4;0;0;2;6;1;7;0;5;0;11;0
04;2020-03-28;12;1;21;0;28;0;0;19;4;0;0;3;6;1;7;0;6;0;14;0
04;2020-03-29;12;1;21;0;28;0;0;19;0;0;0;0;6;1;7;0;6;0;14;0
04;2020-03-30;19;4;28;1;43;3;1;27;15;3;1;8;11;3;9;0;8;1;19;1
04;2020-03-31;20;4;31;2;48;3;2;30;5;0;1;3;10;3;10;1;10;1;20;1
04;2020-04-01;22;5;33;2;52;4;2;32;4;1;0;2;12;4;10;1;9;1;23;1
04;2020-04-02;25;5;45;3;67;4;3;45;15;0;1;13;10;4;18;2;14;1;27;1
04;2020-04-03;29;6;45;3;72;5;3;46;5;1;0;1;13;5;18;2;15;1;27;1
04;2020-04-04;29;5;44;3;72;5;3;46;0;0;0;0;13;4;18;2;15;1;26;1
04;2020-04-05;31;7;44;3;74;7;3;46;2;2;0;0;14;5;18;2;16;2;26;1
04;2020-04-06;35;5;49;4;85;7;4;51;11;0;1;5;16;4;19;3;18;1;30;1
04;2020-04-07;29;3;56;4;86;7;4;58;1;0;0;7;13;2;23;3;15;1;33;1
04;2020-04-08;30;3;58;4;89;7;4;60;3;0;0;2;12;2;25;3;17;1;33;1
04;2020-04-09;31;3;58;4;90;7;4;60;1;0;0;0;12;2;25;3;18;1;33;1
04;2020-04-10;35;4;60;4;96;8;4;63;6;1;0;3;13;2;27;3;21;2;33;1
04;2020-04-11;35;5;63;4;99;9;4;67;3;1;0;4;12;2;30;3;22;3;33;1
05;2020-03-19;10;1;10;0;4;0;0;1;4;0;0;1;3;0;8;0;7;1;2;0
05;2020-03-20;13;1;10;0;6;0;0;1;2;0;0;0;5;0;8;0;8;1;2;0
05;2020-03-21;13;1;10;0;9;0;0;2;3;0;0;1;5;0;8;0;8;1;2;0
05;2020-03-22;14;1;11;0;12;0;0;2;3;0;0;0;5;0;8;0;9;1;3;0
05;2020-03-23;19;3;13;0;17;3;0;4;5;3;0;2;5;1;9;0;14;2;4;0
05;2020-03-24;19;4;16;1;21;4;1;8;4;1;1;4;9;1;8;0;10;3;8;1
05;2020-03-25;23;4;19;1;27;4;1;11;6;0;0;3;12;1;10;0;11;3;9;1
05;2020-03-26;29;6;20;1;34;5;1;12;7;1;0;1;16;3;11;0;13;3;9;1
05;2020-03-27;32;7;22;1;39;6;1;14;5;1;0;2;16;4;13;0;16;3;9;1
05;2020-03-28;32;7;26;1;43;6;1;18;4;0;0;4;16;4;15;0;16;3;11;1
05;2020-03-29;39;8;27;1;51;8;1;19;8;2;0;1;23;6;15;0;16;2;12;1
05;2020-03-30;38;6;33;1;60;8;1;25;9;0;0;6;21;5;18;0;17;1;15;1
05;2020-03-31;42;7;36;1;67;9;1;28;7;1;0;3;25;6;20;0;17;1;16;1
05;2020-04-01;52;11;36;1;75;11;1;28;8;2;0;0;30;8;20;0;22;3;16;1
05;2020-04-02;59;16;37;1;83;16;1;30;8;5;0;2;35;11;21;0;24;5;16;1
05;2020-04-03;64;16;37;1;89;19;1;30;6;3;0;0;36;9;21;0;28;7;16;1
05;2020-04-04;60;17;42;1;90;20;1;35;1;1;0;5;31;10;26;0;29;7;16;1
05;2020-04-05;59;17;45;1;92;20;1;38;2;0;0;3;30;10;29;0;29;7;16;1
05;2020-04-06;63;17;46;2;98;21;2;39;6;1;1;1;34;11;29;0;29;6;17;2
05;2020-04-07;64;17;48;2;101;22;2;41;3;1;0;2;35;11;29;0;29;6;19;2
05;2020-04-08;61;16;53;2;103;24;2;46;2;2;0;5;34;10;31;0;27;6;22;2
05;2020-04-09;54;15;61;2;104;24;2;54;1;0;0;8;31;9;35;0;23;6;26;2
05;2020-04-10;52;15;65;2;106;25;2;58;2;1;0;4;27;9;39;0;25;6;26;2
05;2020-04-11;50;15;68;2;107;25;2;61;1;0;0;3;26;9;40;0;24;6;28;2
06;2020-03-19;33;5;48;2;12;4;0;4;12;4;0;4;21;4;19;0;11;0;29;2
06;2020-03-20;43;7;61;4;34;7;2;14;22;3;2;10;25;6;26;1;16;0;34;3
06;2020-03-21;46;7;61;6;39;7;4;15;5;0;2;1;26;6;25;2;18;0;35;4
06;2020-03-22;45;8;63;7;41;8;6;17;2;1;2;2;26;7;26;3;17;0;36;4
06;2020-03-23;66;13;63;8;64;14;6;17;23;6;0;0;40;12;26;3;24;0;36;5
06;2020-03-24;55;12;86;8;76;15;6;40;12;1;0;23;35;11;34;3;19;0;50;5
06;2020-03-25;75;17;93;9;105;20;7;48;29;5;1;8;46;15;39;3;27;1;52;6
06;2020-03-26;85;18;95;12;123;21;10;53;18;1;3;5;52;16;41;5;31;1;52;7
06;2020-03-27;99;22;99;12;142;25;10;58;19;4;0;5;60;19;42;5;37;2;55;7
06;2020-03-28;105;21;107;15;164;29;13;69;22;4;3;11;60;18;44;7;44;2;61;8
06;2020-03-29;112;26;116;17;183;35;15;79;19;6;2;10;69;20;47;8;42;5;67;9
06;2020-03-30;119;30;117;20;194;40;18;80;11;5;3;1;73;23;47;9;45;6;68;11
06;2020-03-31;132;34;124;23;217;44;21;87;23;4;3;7;78;24;51;12;53;9;70;11
06;2020-04-01;149;41;132;29;257;53;27;105;40;9;6;18;91;30;52;17;57;10;77;12
06;2020-04-02;182;61;141;32;300;70;30;114;43;17;3;9;113;41;57;20;65;17;81;12
06;2020-04-03;203;65;149;35;336;79;33;123;36;9;3;9;124;44;62;22;74;17;84;13
06;2020-04-04;217;77;167;38;374;91;36;141;38;12;3;18;134;53;72;23;77;19;91;15
06;2020-04-05;219;78;171;43;385;93;41;145;11;2;5;4;133;53;76;26;80;20;91;17
06;2020-04-06;233;80;180;47;416;104;45;155;31;11;4;10;139;56;81;28;87;18;94;18
06;2020-04-07;252;81;192;48;453;115;46;168;37;11;1;13;144;58;89;28;99;17;98;19
06;2020-04-08;258;87;208;56;485;131;54;184;32;16;8;16;148;64;96;31;100;17;107;23
06;2020-04-09;264;84;219;61;511;136;59;195;26;5;5;11;147;61;104;35;107;17;110;24
06;2020-04-10;278;83;231;63;550;143;61;209;39;7;2;14;155;59;110;36;113;18;116;25
06;2020-04-11;267;79;249;67;561;145;65;229;11;2;4;20;147;57;119;39;111;16;124;26
07;2020-03-19;11;2;0;0;7;1;0;0;7;1;0;0;6;1;0;0;3;0;0;0
07;2020-03-20;15;3;3;1;14;2;1;3;7;1;1;3;8;2;0;1;5;0;3;0
07;2020-03-21;15;3;3;1;20;2;1;4;6;0;0;1;9;2;0;1;3;0;3;0
07;2020-03-22;22;3;3;1;23;3;1;4;3;1;0;0;11;2;0;1;6;0;3;0
07;2020-03-23;29;3;3;2;30;3;2;4;7;0;1;0;12;2;0;2;11;0;3;0
07;2020-03-24;37;4;1;3;38;5;3;5;8;2;1;1;17;2;0;3;13;1;0;0
07;2020-03-25;48;5;34;4;81;6;4;38;43;1;1;33;21;3;12;3;14;1;21;1
07;2020-03-26;52;7;39;5;93;7;5;43;12;1;1;5;23;3;14;4;16;1;24;1
07;2020-03-27;54;9;45;9;105;9;9;49;12;2;4;6;22;4;18;6;18;1;26;2
07;2020-03-28;62;9;66;10;138;9;10;70;33;0;1;21;26;4;26;6;18;1;36;2
07;2020-03-29;66;8;67;11;147;10;11;71;9;1;1;1;27;3;26;7;18;1;36;2
07;2020-03-30;72;8;79;12;168;11;12;83;21;1;1;12;32;3;30;7;18;1;44;3
07;2020-03-31;87;11;99;13;201;16;13;103;33;5;1;20;42;5;40;8;22;2;53;3
07;2020-04-01;85;11;110;17;215;18;17;114;14;2;4;11;43;6;43;10;21;1;58;5
07;2020-04-02;83;13;120;23;228;21;23;124;13;3;6;10;43;9;47;14;22;0;62;6
07;2020-04-03;95;16;125;24;245;22;24;129;17;1;1;5;50;10;47;15;28;2;66;6
07;2020-04-04;87;15;132;26;246;22;26;136;1;0;2;7;45;9;51;17;25;2;69;6
07;2020-04-05;93;15;131;26;253;23;26;136;7;1;0;0;49;9;51;17;27;2;68;6
07;2020-04-06;102;16;140;30;276;26;30;145;23;3;4;9;53;11;54;18;32;2;74;8
07;2020-04-07;106;19;150;32;292;28;32;155;16;2;2;10;59;13;57;19;35;3;78;8
07;2020-04-08;107;20;156;35;301;31;35;161;9;3;3;6;62;14;60;21;34;2;80;9
07;2020-04-09;107;23;166;38;308;33;38;171;7;2;3;10;60;15;67;24;36;4;83;9
07;2020-04-10;105;24;176;40;318;35;40;181;10;2;2;10;61;15;69;26;36;5;88;9
07;2020-04-11;102;26;182;40;321;37;40;187;3;2;0;6;59;16;72;26;35;6;91;9
08;2020-03-19;0;0;1;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0
08;2020-03-20;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0
08;2020-03-21;3;1;1;0;3;1;0;0;2;0;0;0;2;0;1;0;1;1;0;0
08;2020-03-22;4;1;1;0;4;1;0;0;1;0;0;0;3;0;1;0;1;1;0;0
08;2020-03-23;6;3;1;0;5;2;0;0;1;1;0;0;3;0;1;0;3;3;0;0
08;2020-03-24;5;3;2;0;5;2;0;1;0;0;0;1;2;0;2;0;3;3;0;0
08;2020-03-25;5;3;2;0;7;3;0;1;2;1;0;0;2;0;2;0;3;3;0;0
08;2020-03-26;13;7;2;0;15;7;0;1;8;4;0;0;7;4;2;0;6;3;0;0
08;2020-03-27;14;8;2;0;16;9;0;1;1;2;0;0;8;5;2;0;6;3;0;0
08;2020-03-28;25;8;2;0;27;9;0;1;11;0;0;0;15;5;2;0;10;3;0;0
08;2020-03-29;30;11;4;0;34;12;0;3;7;3;0;2;18;7;4;0;12;4;0;0
08;2020-03-30;30;11;4;0;34;12;0;3;0;0;0;0;18;7;4;0;12;4;0;0
08;2020-03-31;48;17;8;0;57;20;0;7;23;8;0;4;32;11;6;0;15;5;2;0
08;2020-04-01;54;16;8;1;64;20;1;7;7;0;1;0;37;11;6;0;16;4;2;1
08;2020-04-02;66;17;10;1;77;21;1;9;13;1;0;2;45;12;7;0;20;4;3;1
08;2020-04-03;67;17;13;2;82;21;2;12;5;0;1;3;45;12;9;1;21;4;4;1
08;2020-04-04;68;18;20;3;92;23;3;19;10;2;1;7;44;12;14;2;23;5;6;1
08;2020-04-05;73;18;23;4;102;23;4;22;10;0;1;3;42;12;17;2;30;5;6;2
08;2020-04-06;73;18;30;6;110;23;6;29;8;0;2;7;41;12;21;4;31;5;9;2
08;2020-04-07;80;18;37;6;123;24;6;36;13;1;0;7;42;13;26;4;36;4;11;2
08;2020-04-08;75;17;39;7;123;24;7;38;0;0;1;2;40;12;27;4;33;4;12;3
08;2020-04-09;78;18;44;9;135;26;9;43;12;2;2;5;37;12;30;6;39;5;14;3
08;2020-04-10;74;16;52;11;144;26;11;51;9;0;2;8;35;11;33;7;37;4;19;4
08;2020-04-11;69;17;57;13;147;27;13;56;3;1;2;5;33;11;35;8;34;5;22;5
09;2020-03-19;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0
09;2020-03-20;2;1;2;0;1;0;0;0;1;0;0;0;1;0;1;0;1;1;1;0
09;2020-03-21;2;1;3;0;2;0;0;1;1;0;0;1;1;0;2;0;1;1;1;0
09;2020-03-22;2;1;3;0;3;0;0;1;1;0;0;0;1;0;2;0;1;1;1;0
09;2020-03-23;3;3;3;0;4;2;0;1;1;2;0;0;2;2;2;0;1;1;1;0
09;2020-03-24;3;3;3;0;4;2;0;1;0;0;0;0;2;2;2;0;1;1;1;0
09;2020-03-25;7;3;4;0;9;2;0;2;5;0;0;1;6;2;2;0;1;1;2;0
09;2020-03-26;7;3;4;0;9;2;0;2;0;0;0;0;6;2;2;0;1;1;2;0
09;2020-03-27;8;1;4;0;10;2;0;2;1;0;0;0;6;1;2;0;2;0;2;0
09;2020-03-28;8;1;4;0;10;2;0;2;0;0;0;0;6;1;2;0;2;0;2;0
09;2020-03-29;9;2;4;0;10;3;0;2;0;1;0;0;7;2;2;0;2;0;2;0
09;2020-03-30;11;3;4;0;12;4;0;2;2;1;0;0;8;3;2;0;3;0;2;0
09;2020-03-31;12;3;6;0;15;4;0;4;3;0;0;2;7;3;4;0;5;0;2;0
09;2020-04-01;16;6;7;0;20;7;0;5;5;3;0;1;9;3;5;0;6;3;2;0
09;2020-04-02;17;6;8;1;22;7;1;6;2;0;1;1;11;3;5;0;6;3;3;1
09;2020-04-03;16;6;8;1;22;7;1;6;0;0;0;0;10;3;5;0;6;3;3;1
09;2020-04-04;15;5;10;1;23;7;1;8;1;0;0;2;9;3;6;0;6;2;4;1
09;2020-04-05;18;5;10;1;26;7;1;8;3;0;0;0;9;3;6;0;7;2;4;1
09;2020-04-06;18;4;11;1;27;7;1;9;1;0;0;1;8;3;7;0;7;1;4;1
09;2020-04-07;19;4;12;1;29;7;1;10;2;0;0;1;9;3;7;0;8;1;4;1
09;2020-04-08;20;4;10;1;32;7;1;11;3;0;0;1;11;3;5;0;7;1;4;1
09;2020-04-09;18;4;11;1;33;7;1;12;1;0;0;1;9;3;6;0;7;1;4;1
09;2020-04-10;15;4;15;1;34;7;1;16;1;0;0;4;7;3;8;0;6;1;6;1
09;2020-04-11;15;4;15;1;34;7;1;16;0;0;0;0;7;3;8;0;6;1;6;1
10;2020-03-19;6;1;0;0;6;2;0;0;6;2;0;0;5;0;0;0;1;1;0;0
10;2020-03-20;12;2;0;0;8;2;0;0;2;0;0;0;9;1;0;0;3;1;0;0
10;2020-03-21;12;2;0;0;14;4;0;0;6;2;0;0;9;1;0;0;3;1;0;0
10;2020-03-22;21;4;0;0;23;4;0;0;9;0;0;0;14;3;0;0;7;1;0;0
10;2020-03-23;33;4;0;2;34;5;2;0;11;1;2;0;23;3;0;2;10;1;0;0
10;2020-03-24;36;4;0;2;38;6;2;0;4;1;0;0;25;3;0;2;11;1;0;0
10;2020-03-25;44;9;3;6;55;11;6;3;17;5;4;3;33;8;3;5;11;1;0;1
10;2020-03-26;58;13;3;6;67;13;6;3;12;2;0;0;39;10;3;5;17;3;0;1
10;2020-03-27;61;13;3;6;70;13;6;3;3;0;0;0;42;10;3;5;17;3;0;1
10;2020-03-28;64;13;3;7;74;13;7;3;4;0;1;0;45;10;3;5;17;3;0;2
10;2020-03-29;65;13;3;7;75;13;7;3;1;0;0;0;46;10;3;5;17;3;0;2
10;2020-03-30;70;13;4;7;81;13;7;4;6;0;0;1;51;10;3;5;17;3;1;2
10;2020-03-31;79;13;4;8;94;14;8;4;13;1;1;0;55;9;3;6;22;4;1;2
10;2020-04-01;86;15;21;18;128;19;18;21;34;5;10;17;50;9;14;16;35;6;6;2
10;2020-04-02;104;17;24;20;151;21;20;24;23;2;2;3;59;11;15;17;44;6;8;3
10;2020-04-03;110;17;25;21;160;21;21;25;9;0;1;1;61;11;16;18;48;6;8;3
10;2020-04-04;141;22;27;31;199;26;31;27;39;5;10;2;77;16;17;25;63;6;9;6
10;2020-04-05;148;23;27;34;209;27;34;27;10;1;3;0;81;16;17;26;66;7;9;8
10;2020-04-06;151;23;27;35;212;27;35;27;3;0;1;0;82;16;17;27;68;7;9;8
10;2020-04-07;157;25;30;38;225;29;38;30;13;2;3;3;86;18;19;27;70;7;10;10
10;2020-04-08;153;24;54;47;254;31;47;54;29;2;9;24;86;18;29;34;66;6;24;12
10;2020-04-09;202;27;147;58;411;36;58;149;157;5;11;95;119;20;78;40;79;7;68;17
10;2020-04-10;213;27;196;59;473;36;59;198;62;0;1;49;123;20;103;41;86;7;92;17
10;2020-04-11;219;27;196;61;482;36;61;198;9;0;2;0;126;20;103;42;89;7;92;18
11;2020-03-19;18;11;8;6;19;5;3;4;19;5;3;4;12;7;2;3;6;4;6;3
11;2020-03-20;26;11;13;8;29;7;5;5;10;2;2;1;20;8;3;5;6;3;10;3
11;2020-03-21;26;9;13;9;31;7;8;5;2;0;3;0;20;7;3;6;6;2;10;3
11;2020-03-22;27;9;13;9;36;8;9;5;5;1;1;0;22;7;3;6;5;2;10;3
11;2020-03-23;36;13;13;10;50;12;9;5;14;4;0;0;29;11;3;7;7;2;10;3
11;2020-03-24;33;11;13;12;55;13;11;5;5;1;2;0;25;10;3;9;8;1;10;3
11;2020-03-25;37;12;17;15;67;14;14;9;12;1;3;4;28;11;6;12;9;1;11;3
11;2020-03-26;38;11;23;15;80;17;15;15;13;3;1;6;26;9;10;12;12;2;13;3
11;2020-03-27;45;14;26;15;92;19;15;18;12;2;0;3;31;10;12;12;14;4;14;3
11;2020-03-28;59;19;34;17;113;24;17;26;21;5;2;8;41;15;18;13;18;4;16;4
11;2020-03-29;68;18;35;17;131;25;17;27;18;1;0;1;42;15;19;13;26;3;16;4
11;2020-03-30;73;20;36;18;149;27;18;28;18;2;1;1;48;17;20;13;25;3;16;5
11;2020-03-31;75;18;39;19;163;27;20;31;14;0;2;3;48;15;23;15;27;3;16;4
11;2020-04-01;80;20;46;21;180;28;22;38;17;1;2;7;49;17;28;15;31;3;18;6
11;2020-04-02;101;19;52;21;211;29;22;44;31;1;0;6;63;15;30;15;38;4;22;6
11;2020-04-03;99;19;55;24;218;30;26;47;7;1;4;3;61;15;30;18;38;4;25;6
11;2020-04-04;102;20;57;24;226;31;26;50;8;1;0;3;62;15;30;18;37;4;27;6
11;2020-04-05;95;18;63;27;234;31;29;56;8;0;3;6;58;14;33;20;37;4;30;7
11;2020-04-06;76;15;67;31;241;33;33;60;7;2;4;4;44;11;34;23;32;4;33;8
11;2020-04-07;81;17;76;31;255;36;33;69;14;3;0;9;48;13;38;23;33;4;38;8
11;2020-04-08;73;14;79;34;259;36;36;74;4;0;3;5;44;12;39;25;29;2;40;9
11;2020-04-09;69;15;84;36;262;37;38;79;3;1;2;5;42;13;42;27;27;2;42;9
11;2020-04-10;63;15;91;37;268;39;39;86;6;2;1;7;37;14;47;28;26;1;44;9
11;2020-04-11;66;14;96;37;275;39;39;91;7;0;0;5;39;13;50;28;27;1;46;9
12;2020-03-19;9;2;2;1;4;0;1;1;4;0;1;1;3;1;0;1;6;1;2;0
12;2020-03-20;12;2;3;1;8;0;1;2;4;0;0;1;3;1;1;1;9;1;2;0
12;2020-03-21;11;2;4;1;9;0;1;3;1;0;0;1;3;1;2;1;8;1;2;0
12;2020-03-22;13;2;4;1;11;0;1;3;2;0;0;0;4;1;2;1;9;1;2;0
12;2020-03-23;14;2;4;1;12;0;1;3;1;0;0;0;5;1;2;1;9;1;2;0
12;2020-03-24;19;3;5;1;18;1;1;4;6;1;0;1;9;2;2;1;10;1;3;0
12;2020-03-25;17;4;10;1;21;2;1;9;3;1;0;5;8;3;5;1;9;1;5;0
12;2020-03-26;22;5;10;4;29;4;4;9;8;2;3;0;10;3;5;3;12;2;5;1
12;2020-03-27;24;6;13;5;35;5;5;12;6;1;1;3;11;3;5;3;13;3;8;2
12;2020-03-28;33;6;16;6;48;5;6;15;13;0;1;3;17;3;5;4;16;3;11;2
12;2020-03-29;34;6;16;6;50;5;6;15;2;0;0;0;17;3;5;4;17;3;11;2
12;2020-03-30;40;8;19;6;60;7;6;18;10;2;0;3;23;5;7;4;16;3;12;2
12;2020-03-31;43;10;21;6;66;9;6;20;6;2;0;2;26;7;8;4;17;3;13;2
12;2020-04-01;46;10;21;7;70;9;7;20;4;0;1;0;29;7;8;4;17;3;13;3
12;2020-04-02;52;11;24;7;79;10;7;23;9;1;0;3;35;8;9;4;17;3;15;3
